Country,travel_popdenisty_/sqmile,travel_coastline_%ratio,travel_incountry_%growth,travel_no_of_arrivals,soc_gdp_percapita,soc_literacy_%pop,soc_suicide_per_100k,soc_birthrate_cbr,eco_%agriculture,eco_%industry,eco_%service,eco_%self_employed,pop_%female,pop_avghousehold_size,pop_%householdtype_nuclear,pop_%householdtype_nochildren,travel_rank,society_rank,economy_rank,pop_rank,overall_rank
Greece,81,10.37,1.93201,30123000,20000,97.5,3.028586733,9.68,0.054,0.213,0.733,33,50.77984981,2.8425,64.88166667,19.19166667,1,10,17,60,1
Cyprus,84.8,7.01,6.40349,3939000,19200,97.6,0.9287632,12.56,0.037,0.198,0.765,14.1,49.94014646,2.8825,72.68,23.69,58,4,6,67,2
United States,31,0.21,3.05635,79745920,37800,97,11.02192463,14.14,0.01,0.204,0.787,9.66,50.50442726,2.721111111,62.407,24.047,11,16,4,91,3
United Kingdom,247.6,5.08,1.52512,36316000,27700,99,7.677848339,10.71,0.005,0.237,0.758,15.3,50.65876632,2.36,63.86,25.96,5,8,10,101,4
Mexico,54.5,0.47,2.68557,41313000,9000,92.2,2.606418694,20.69,0.038,0.259,0.702,31.5,50.20880006,4.43375,65.855,7.86625,10,34,22,13,5
Italy,193,2.52,1.35622,61567200,26700,98.6,5.72273693,8.72,0.021,0.291,0.688,23.6,51.26484952,2.496666667,66.305,19.8175,3,11,26,65.5,6
Spain,80,0.98,2.99338,82773000,22000,97.9,5.302825036,10.06,0.04,0.295,0.665,16.6,50.96518516,2.831428571,66.9875,18.12,4,12,39,45,7
Australia,2.6,0.34,3.00637,9246000,29000,100,11.96014704,12.14,0.038,0.262,0.7,16.8,50.18277087,2.516666667,64.35,24.87333333,23,9,20,97,8
France,111.3,0.63,2.43424,89322000,27600,99,15.24368145,11.99,0.022,0.214,0.764,11.7,50.83268354,2.556363636,59.92,23.70888889,8,25,9,102,9
"Bahamas, The",21.8,25.41,3.65348,1633000,16700,95.6,3.296670916,17.57,0.03,0.07,0.9,18.8,51.03551718,3.4,44.86,8.31,61,13,2,121,10
